Age,N,Mean,S.D.,L,M,S,Z (LMS),P5,P10,P25,P50,P75,P90,P95,Sex,Bone 
6,37,3.06,0.24,0.787,3.064,0.081,0.01,2.56,2.67,2.86,3.06,3.27,3.46,3.57,F,falange distal do primeiro dedo
7,30,3.21,0.2,0.787,3.241,0.081,-0.13,2.71,2.83,3.02,3.24,3.46,3.66,3.77,F,falange distal do primeiro dedo
8,43,3.46,0.36,0.787,3.42,0.081,0.13,2.86,2.98,3.19,3.42,3.65,3.86,3.98,F,falange distal do primeiro dedo
9,40,3.57,0.31,0.787,3.587,0.081,-0.08,3,3.13,3.35,3.59,3.83,4.05,4.18,F,falange distal do primeiro dedo
10,63,3.76,0.26,0.787,3.735,0.081,0.08,3.12,3.26,3.48,3.73,3.99,4.21,4.35,F,falange distal do primeiro dedo
11,53,3.87,0.29,0.787,3.859,0.081,0.03,3.22,3.36,3.6,3.86,4.12,4.35,4.49,F,falange distal do primeiro dedo
12,42,3.91,0.4,0.787,3.963,0.081,-0.15,3.31,3.46,3.7,3.96,4.23,4.47,4.62,F,falange distal do primeiro dedo
13,33,4.09,0.35,0.787,4.054,0.081,0.1,3.39,3.53,3.78,4.05,4.33,4.57,4.72,F,falange distal do primeiro dedo
14,24,4.18,0.21,0.787,4.124,0.081,0.18,3.45,3.6,3.85,4.12,4.4,4.65,4.8,F,falange distal do primeiro dedo
15,23,4.13,0.29,0.787,4.177,0.081,-0.14,3.49,3.64,3.89,4.18,4.46,4.71,4.86,F,falange distal do primeiro dedo
6,37,2,0.16,0.986,1.987,0.09,0.07,1.66,1.73,1.85,1.99,2.12,2.24,2.31,F,falange proximal do primeiro dedo
7,30,2.07,0.17,0.986,2.084,0.09,-0.06,1.74,1.82,1.94,2.08,2.22,2.35,2.43,F,falange proximal do primeiro dedo
8,43,2.17,0.2,0.986,2.189,0.09,-0.1,1.83,1.91,2.04,2.19,2.34,2.47,2.55,F,falange proximal do primeiro dedo
9,40,2.29,0.21,0.986,2.298,0.09,-0.04,1.92,2,2.14,2.3,2.45,2.59,2.68,F,falange proximal do primeiro dedo
10,63,2.43,0.23,0.986,2.403,0.09,0.13,2.01,2.09,2.24,2.4,2.57,2.71,2.8,F,falange proximal do primeiro dedo
11,53,2.51,0.19,0.986,2.492,0.09,0.08,2.08,2.17,2.32,2.49,2.66,2.81,2.9,F,falange proximal do primeiro dedo
12,42,2.51,0.28,0.986,2.567,0.09,-0.24,2.14,2.24,2.39,2.57,2.74,2.9,2.99,F,falange proximal do primeiro dedo
13,33,2.65,0.28,0.986,2.634,0.09,0.06,2.2,2.3,2.46,2.63,2.81,2.97,3.07,F,falange proximal do primeiro dedo
14,24,2.73,0.16,0.986,2.696,0.09,0.12,2.25,2.35,2.51,2.7,2.88,3.04,3.14,F,falange proximal do primeiro dedo
15,23,2.73,0.25,0.986,2.752,0.09,-0.11,2.3,2.4,2.57,2.75,2.94,3.1,3.2,F,falange proximal do primeiro dedo
6,37,3.06,0.24,0.787,3.064,0.081,0.01,2.56,2.67,2.86,3.06,3.27,3.46,3.57,F,primeiro metacarpo
7,30,3.21,0.2,0.787,3.241,0.081,-0.13,2.71,2.83,3.02,3.24,3.46,3.66,3.77,F,primeiro metacarpo
8,43,3.46,0.36,0.787,3.42,0.081,0.13,2.86,2.98,3.19,3.42,3.65,3.86,3.98,F,primeiro metacarpo
9,40,3.57,0.31,0.787,3.587,0.081,-0.08,3,3.13,3.35,3.59,3.83,4.05,4.18,F,primeiro metacarpo
10,63,3.76,0.26,0.787,3.735,0.081,0.08,3.12,3.26,3.48,3.73,3.99,4.21,4.35,F,primeiro metacarpo
11,53,3.87,0.29,0.787,3.859,0.081,0.03,3.22,3.36,3.6,3.86,4.12,4.35,4.49,F,primeiro metacarpo
12,42,3.91,0.4,0.787,3.963,0.081,-0.15,3.31,3.46,3.7,3.96,4.23,4.47,4.62,F,primeiro metacarpo
13,33,4.09,0.35,0.787,4.054,0.081,0.1,3.39,3.53,3.78,4.05,4.33,4.57,4.72,F,primeiro metacarpo
14,24,4.18,0.21,0.787,4.124,0.081,0.18,3.45,3.6,3.85,4.12,4.4,4.65,4.8,F,primeiro metacarpo
15,23,4.13,0.29,0.787,4.177,0.081,-0.14,3.49,3.64,3.89,4.18,4.46,4.71,4.86,F,primeiro metacarpo
6,37,1.09,0.09,0.781,1.089,0.091,0.01,0.91,0.95,1.02,1.09,1.16,1.23,1.27,F,falange distal do segundo dedo
7,30,1.14,0.1,0.781,1.157,0.091,-0.16,0.97,1.01,1.08,1.16,1.23,1.3,1.35,F,falange distal do segundo dedo
8,43,1.24,0.11,0.781,1.224,0.091,0.11,1.02,1.07,1.14,1.22,1.31,1.38,1.43,F,falange distal do segundo dedo
9,40,1.31,0.13,0.781,1.283,0.091,0.19,1.07,1.12,1.2,1.28,1.37,1.45,1.49,F,falange distal do segundo dedo
