Month,L,M,S
0,-1.295960857,49.28639612,0.0500855601
0.5,-0.809249882,51.68358057,0.0468185454
1.5,-0.050782985,55.28612813,0.0434439
2.5,0.4768514065,58.09381906,0.0417161032
3.5,0.8432996117,60.45980763,0.0407051733
4.5,1.097562257,62.53669656,0.0400797646
5.5,1.272509641,64.40632762,0.0396868449
6.5,1.390428859,66.11841553,0.0394445547
7.5,1.466733925,67.70574419,0.0393047376
8.5,1.512301976,69.19123614,0.0392371101
9.5,1.534950767,70.59163924,0.0392216648
10.5,1.540390875,71.91961673,0.0392446716
11.5,1.532852892,73.1850104,0.0392964203
12.5,1.51550947,74.39564379,0.0393698746
13.5,1.490765028,75.5578544,0.0394598321
14.5,1.460458255,76.67685871,0.0395623818
15.5,1.426006009,77.75700986,0.0396745415
16.5,1.388507095,78.80198406,0.0397940102
17.5,1.348818127,79.81491852,0.0399189943
18.5,1.307609654,80.79851532,0.0400480838
19.5,1.265408149,81.75512092,0.0401801621
20.5,1.222627732,82.6867881,0.0403143396
21.5,1.179594365,83.59532461,0.040449904
22.5,1.136564448,84.48233206,0.0405862829
23.5,1.093731947,85.34923624,0.0407230154
24.5,1.051272912,86.1973169,0.0408597268
25.5,1.041951175,87.09026318,0.0411421607
26.5,1.012592236,87.95714182,0.0413493986
27.5,0.9705419086,88.7960184,0.041500428
28.5,0.9211299875,89.6055115,0.0416105082
29.5,0.8682213922,90.38476689,0.0416917614
30.5,0.8145441296,91.13341722,0.0417536804
31.5,0.7619579771,91.8515436,0.0418035615
32.5,0.7116602284,92.5396352,0.0418468815
33.5,0.6643233788,93.19854429,0.041887626
34.5,0.6202851017,93.82945392,0.0419285678
35.5,0.57955631,94.43382278,0.0419715144
