Month,L,M,S
0,1.267004226,49.98888408,0.0531121908
0.5,0.5112376962,52.6959753,0.0486926838
1.5,-0.45224446,56.62842855,0.0441168302
2.5,-0.990594599,59.60895343,0.0417955825
3.5,-1.285837689,62.07700027,0.0404541256
4.5,-1.43031238,64.2168641,0.0396338789
5.5,-1.47657547,66.1253149,0.0391238128
6.5,-1.456837849,67.8601799,0.0388119944
7.5,-1.391898768,69.45908458,0.0386332091
8.5,-1.29571459,70.94803912,0.0385468328
9.5,-1.177919048,72.34586111,0.0385262623
10.5,-1.045326049,73.6666541,0.038553387
11.5,-0.902800887,74.92129717,0.0386155012
12.5,-0.753908107,76.11837536,0.0387034611
13.5,-0.601263523,77.26479911,0.0388105571
14.5,-0.446805039,78.36622309,0.0389317838
15.5,-0.291974772,79.4273405,0.0390633563
16.5,-0.13784767,80.45209492,0.0392023816
17.5,0.014776155,81.44383603,0.0393466285
18.5,0.1653041691,82.40543643,0.0394943647
19.5,0.3133018086,83.33938063,0.0396442379
20.5,0.4584554707,84.24783394,0.0397951891
21.5,0.6005446308,85.13269658,0.0399463877
22.5,0.7394389526,85.9956488,0.0400971806
23.5,0.8750004465,86.8381751,0.0402470597
24.5,1.00720807,87.66160934,0.0403956257
25.5,0.8372513507,88.45247282,0.0405775247
26.5,0.681492975,89.22326434,0.0407231216
27.5,0.5387796541,89.97549228,0.0408331942
28.5,0.4076971531,90.71040853,0.0409090589
29.5,0.2867624533,91.42907762,0.0409524329
30.5,0.1744894848,92.13242379,0.0409653301
31.5,0.0694445205,92.82127167,0.0409499758
32.5,-0.029720564,93.49637946,0.0409087367
33.5,-0.124251789,94.15846546,0.0408440616
34.5,-0.215288396,94.80822923,0.0407584307
35.5,-0.30385434,95.44636981,0.0406543122
