Month,L,M,S
0.25,0.707,18.895,0.079
0.5,0.673,21.518,0.077
0.75,0.65,23.999,0.075
1,0.641,26.364,0.074
2,0.719,35.261,0.069
3,0.785,42.145,0.066
4,0.764,46.801,0.063
5,0.713,50.65,0.061
6,0.66,54.452,0.06
7,0.625,58.309,0.059
8,0.624,62.011,0.058
9,0.662,65.409,0.058
10,0.738,68.658,0.057
11,0.85,71.969,0.057
12,0.982,75.247,0.056
13,1.101,77.896,0.056
14,1.175,79.464,0.056
15,1.209,80.153,0.055
16,1.225,80.491,0.055
17,1.234,80.657,0.055
18,1.238,80.749,0.055
19,1.242,80.827,0.055
20,1.248,80.956,0.055
21,1.253,81.057,0.055
