Month,L,M,S
0.25,1.061,19.376,0.08
0.5,0.936,22.136,0.078
0.75,0.824,24.605,0.077
1,0.729,26.922,0.075
2,0.536,35.711,0.071
3,0.513,42.289,0.067
4,0.53,47.11,0.064
5,0.558,51.291,0.062
6,0.588,55.143,0.061
7,0.617,58.826,0.06
8,0.644,62.405,0.06
9,0.672,65.72,0.059
10,0.703,68.825,0.059
11,0.742,71.947,0.059
12,0.791,75.332,0.059
13,0.851,79.18,0.059
14,0.91,82.832,0.058
15,0.957,85.618,0.057
16,0.99,87.476,0.057
17,1.007,88.456,0.057
18,1.013,88.821,0.057
19,1.014,88.885,0.057
20,1.016,88.954,0.057
21,1.019,89.144,0.057
