Month,L,M,S
0.25,1.51,40.669,0.045
0.5,1.445,44.742,0.045
0.75,1.386,46.962,0.046
1,1.336,48.719,0.046
2,1.234,52.428,0.048
3,1.194,54.615,0.049
4,1.164,57.761,0.049
5,1.147,61.155,0.05
6,1.144,64.146,0.05
7,1.153,66.81,0.05
8,1.176,69.573,0.05
9,1.217,72.287,0.049
10,1.277,74.73,0.049
11,1.357,77.178,0.048
12,1.471,80.1,0.047
13,1.61,83.126,0.045
14,1.735,85.498,0.043
15,1.823,87.06,0.041
16,1.883,88.108,0.04
17,1.907,88.544,0.039
18,1.917,88.707,0.039
19,1.933,88.994,0.039
20,1.953,89.347,0.038
21,1.969,89.627,0.038
