Month,L,M,S
0.25,4.72,0.683,0.036
0.5,4.72,0.672,0.036
0.75,4.72,0.66,0.036
1,4.72,0.648,0.036
2,4.72,0.601,0.036
3,4.72,0.568,0.035
4,4.72,0.553,0.034
5,4.72,0.546,0.032
6,4.72,0.541,0.031
7,4.72,0.536,0.029
8,4.72,0.531,0.028
9,4.72,0.526,0.027
10,4.72,0.522,0.028
11,4.72,0.519,0.027
12,4.72,0.516,0.027
13,4.72,0.516,0.027
14,4.72,0.518,0.027
15,4.72,0.522,0.027
16,4.72,0.524,0.027
17,4.72,0.524,0.027
18,4.72,0.524,0.027
19,4.72,0.525,0.027
20,4.72,0.526,0.027
21,4.72,0.526,0.027
