Month,L,M,S
0.25,5.22,0.682,0.034
0.5,5.22,0.671,0.034
0.75,5.22,0.66,0.034
1,5.22,0.648,0.034
2,5.22,0.604,0.034
3,5.22,0.572,0.033
4,5.22,0.555,0.033
5,5.22,0.546,0.031
6,5.22,0.541,0.03
7,5.22,0.536,0.029
8,5.22,0.531,0.028
9,5.22,0.525,0.027
10,5.22,0.52,0.026
11,5.22,0.516,0.025
12,5.22,0.513,0.025
13,5.22,0.509,0.025
14,5.22,0.508,0.026
15,5.22,0.51,0.026
16,5.22,0.512,0.027
17,5.22,0.513,0.027
18,5.22,0.515,0.028
19,5.22,0.516,0.028
20,5.22,0.516,0.029
21,5.22,0.513,0.029
