Month,L,M,S
0.25,3.072,41.691,0.045
0.5,3.087,45.669,0.044
0.75,3.092,48.035,0.044
1,3.087,49.71,0.044
2,3.03,53.599,0.046
3,2.971,55.952,0.046
4,2.886,58.741,0.047
5,2.768,61.831,0.047
6,2.624,64.916,0.047
7,2.474,67.784,0.046
8,2.331,70.446,0.047
9,2.212,72.642,0.047
10,2.115,74.502,0.048
11,2.023,76.435,0.048
12,1.931,78.893,0.049
13,1.868,81.971,0.05
14,1.871,85.482,0.05
15,1.925,88.994,0.047
16,1.985,91.555,0.044
17,2.024,93.017,0.042
18,2.047,93.854,0.041
19,2.059,94.311,0.04
20,2.062,94.432,0.04
21,2.06,94.654,0.04
